medio,seccion,titular,url,fecha,len_titular
La República,Política,Marcha de sacrificio Uyariy: familiares de las víctimas denuncian hostigamiento policial en movilización,https://larepublica.pe/politica/2026/01/27/marcha-de-sacrificio-uyariy-familiares-de-las-victimas-denuncian-hostigamiento-policial-en-movilizacion-hnews-2689281,2026-01-27T19:23:36-05:00,104
La República,Política,Elecciones 2026: más de un millón 200 mil peruanos votarán en el exterior el próximo 12 de abril,https://larepublica.pe/politica/2026/01/27/elecciones-2026-mas-de-un-millon-200-mil-peruanos-votaran-en-el-exterior-el-proximo-12-de-abril-hnews-320787,2026-01-27T18:44:16-05:00,96
La República,Política,Fiorella Molinelli sobre Jerí: Hay “indicios” claros de que actuó en flagrancia,https://larepublica.pe/politica/2026/01/27/fiorella-molinelli-sobre-jeri-hay-indicios-claros-de-que-actuo-en-flagrancia-hnews-836946,2026-01-27T18:07:32-05:00,79
La República,Política,Faltan 37 firmas para convocar Pleno Extraordinario y debatir las 7 mociones de censura contra José Jerí,https://larepublica.pe/politica/2026/01/27/faltan-37-firmas-para-convocar-pleno-extraordinario-y-debatir-las-7-mociones-de-censura-contra-jose-jeri-hnews-2643030,2026-01-27T18:01:13-05:00,104
La República,Política,José Jerí mintió con comisión para revisar leyes procrimen: Minjus no registra avances en casi dos meses,https://larepublica.pe/politica/2026/01/26/jose-jeri-mintio-con-comision-para-revisar-leyes-procrimen-minjus-no-registra-avances-en-casi-dos-meses-hnews-2566538,2026-01-27T17:48:05-05:00,104
La República,Política,José Jerí: presentan oficialmente moción de vacancia presidencial por reuniones con empresario chino,https://larepublica.pe/politica/2026/01/26/jose-jeri-presentan-oficialmente-mocion-de-vacancia-presidencial-por-reuniones-con-empresario-chino-hnews-984100,2026-01-27T17:15:34-05:00,100
La República,Política,JNE anuncia que el debate presidencial de las Elecciones 2026 será entre el 23 y 30 de marzo,https://larepublica.pe/politica/2026/01/27/jne-anuncia-que-el-debate-presidencial-de-las-elecciones-2026-sera-entre-el-23-y-30-de-marzo-hnews-817776,2026-01-27T17:13:46-05:00,92
La República,Política,Agenda Ciudadana se presentará a candidatos presidenciales,https://larepublica.pe/politica/2026/01/27/agenda-ciudadana-se-presentara-a-candidatos-presidenciales-hnews-2037312,2026-01-27T17:09:00-05:00,58
La República,Política,César Hinostroza seguirá con prisión preventiva: PJ ratifica medida por 36 meses,https://larepublica.pe/politica/2026/01/27/cesar-hinostroza-seguira-con-prision-preventiva-pj-ratifica-medida-por-36-meses-hnews-482220,2026-01-27T15:47:54-05:00,80
La República,Política,El 47 % de peruanos decide su voto en las últimas semanas,https://larepublica.pe/politica/2026/01/27/el-47-de-peruanos-decide-su-voto-en-las-ultimas-semanas-hnews-609390,2026-01-27T14:54:38-05:00,57
La República,Política,"Rosa María Palacios sobre Keiko: “Si sigue dando entrevistas, su 8 % se le va a ir por el caño”",https://larepublica.pe/politica/2026/01/27/rosa-maria-palacios-sobre-keiko-si-sigue-dando-entrevistas-su-8-se-le-va-a-ir-por-el-cano-hnews-1572075,2026-01-27T13:35:27-05:00,95
La República,Política,JUSDEM rechaza la decisión de la JNJ de destituir a Delia Espinoza,https://larepublica.pe/politica/2026/01/26/jusdem-rechaza-la-decision-de-la-jnj-de-destituir-a-delia-espinoza-hnews-2219750,2026-01-27T11:35:37-05:00,66
La República,Política,Congresista Kira Alcarraz falta el respeto a efectivo PNP: su chofer fue detenido por dosaje etílico positivo,https://larepublica.pe/politica/2026/01/26/congresista-kira-alcarraz-falta-el-respeto-a-efectivo-pnp-su-chofer-fue-detenido-por-dosaje-etilico-positivo-hnews-706966,2026-01-27T11:33:04-05:00,109
La República,Política,Brasil asume representación diplomática de México en el Perú tras asilo a Betssy Chávez,https://larepublica.pe/politica/2026/01/25/brasil-asume-representacion-diplomatica-de-mexico-en-el-peru-tras-asilo-a-betssy-chavez-hnews-772825,2026-01-27T11:32:35-05:00,87
La República,Política,"Encuestas Presidenciales 2026: López Aliaga lidera la intención de voto mientras el 44,5% aún no decide",https://larepublica.pe/politica/2026/01/26/con-solo-147-rafael-lopez-aliaga-lidera-la-intencion-de-voto-mientras-el-445-aun-no-decide-hnews-2042256,2026-01-27T11:08:18-05:00,103
La República,Política,Operan a Martín Vizcarra por segunda vez: expresidente ingresa de emergencia a clínica por problema renal,https://larepublica.pe/politica/2026/01/26/operan-a-martin-vizcarra-por-segunda-vez-expresidente-ingresa-de-emergencia-a-clinica-por-problema-renal-hnews-1095146,2026-01-27T11:07:37-05:00,105
La República,Política,Informe del JEE advierte que candidato presidencial del partido Patriótico del Perú habría declarado información falsa,https://larepublica.pe/politica/2026/01/27/elecciones-2026-informe-del-jee-advierte-que-candidato-presidencial-del-partido-patriotico-del-peru-habria-declarado-informacion-falsa-hnews-2196207,2026-01-27T10:07:27-05:00,118
La República,Política,Elecciones 2026: 36 planchas presidenciales fueron inscritas tras superar el proceso de tachas,https://larepublica.pe/politica/2026/01/26/elecciones-2026-36-planchas-presidenciales-fueron-inscritas-tras-superar-el-proceso-de-tachas-hnews-2244606,2026-01-27T05:26:00-05:00,94
La República,Política,Futuro de Patricia Chirinos en manos del JNE: evaluarán apelación de candidatura al Senado este miércoles 28,https://larepublica.pe/politica/2026/01/26/futuro-de-patricia-chirinos-en-manos-del-jne-evaluaran-apelacion-de-candidatura-al-senado-este-miercoles-28-1306344,2026-01-27T05:12:00-05:00,108
